ds,y
2022-01-01,120.5
2022-01-02,118.3
2022-01-03,125.1
2022-01-04,130.2
2022-01-05,128.7
2022-01-06,115.4
2022-01-07,110.2
2022-01-08,122.8
2022-01-09,126.3
2022-01-10,131.5
2022-01-11,135.2
2022-01-12,133.8
2022-01-13,119.6
2022-01-14,112.4
2022-01-15,124.9
2022-01-16,129.7
2022-01-17,138.4
2022-01-18,142.1
2022-01-19,139.6
2022-01-20,125.3
2022-01-21,118.9
2022-01-22,130.4
2022-01-23,136.2
2022-01-24,141.8
2022-01-25,145.3
2022-01-26,143.1
2022-01-27,128.7
2022-01-28,121.5
2022-01-29,133.9
2022-01-30,139.4
2022-01-31,148.2
2022-02-01,152.7
2022-02-02,149.3
2022-02-03,134.6
2022-02-04,127.8
2022-02-05,140.2
2022-02-06,146.5
2022-02-07,155.1
2022-02-08,159.8
2022-02-09,156.4
2022-02-10,141.2
2022-02-11,134.9
2022-02-12,147.3
2022-02-13,153.7
2022-02-14,162.4
2022-02-15,167.1
2022-02-16,163.8
2022-02-17,148.5
2022-02-18,141.2
2022-02-19,154.6
2022-02-20,161.3
2022-02-21,170.2
2022-02-22,175.4
2022-02-23,171.9
2022-02-24,156.3
2022-02-25,148.7
2022-02-26,162.1
2022-02-27,169.4
2022-02-28,178.3
2022-03-01,183.6
2022-03-02,179.8
2022-03-03,164.2
2022-03-04,156.5
2022-03-05,170.4
2022-03-06,177.8
2022-03-07,187.2
2022-03-08,192.5
2022-03-09,188.1
2022-03-10,172.4
2022-03-11,164.7
2022-03-12,178.9
2022-03-13,186.3
2022-03-14,195.8
2022-03-15,201.2
2022-03-16,196.7
2022-03-17,180.3
2022-03-18,172.6
2022-03-19,187.4
2022-03-20,195.1
2022-03-21,204.7
2022-03-22,210.3
2022-03-23,205.8
2022-03-24,189.2
2022-03-25,181.4
2022-03-26,196.3
2022-03-27,204.2
2022-03-28,213.9
2022-03-29,219.6
2022-03-30,215.1
2022-03-31,198.4
